datetime,vol,op,comp1p,comp2p,comp3p,hour,day_of_week,month
2023-05-01 06:00:00,44.09,1.729189,1.752333333,1.774762712,1.749,6,0,5
2023-05-01 07:00:00,52.78,1.828911,1.819,1.829,1.749,7,0,5
2023-05-01 08:00:00,43.81,1.789165,1.800333333,1.8225,1.7855,8,0,5
2023-05-01 09:00:00,127.47,1.821176,1.799666667,1.837,1.834,9,0,5
2023-05-01 10:00:00,27.48,1.819153,1.810166667,1.831,1.817,10,0,5
2023-05-01 11:00:00,34.74,1.778812,1.780333333,1.794,1.788,11,0,5
2023-05-01 12:00:00,30.42,1.82899,1.786666667,1.855,1.845666667,12,0,5
2023-05-01 13:00:00,11.04,1.829149,1.792666667,1.847,1.832666667,13,0,5
2023-05-01 14:00:00,48.88,1.739185,1.745,1.7985,1.778666667,14,0,5
2023-05-01 15:00:00,20.01,1.798011,1.769,1.799,1.813,15,0,5
2023-05-01 16:00:00,81.32,1.783751,1.7625,1.793,1.768166667,16,0,5
2023-05-01 17:00:00,118.22,1.755448,1.743333333,1.7795,1.764,17,0,5
2023-05-01 18:00:00,41.82,1.743529,1.738166667,1.75,1.7495,18,0,5
2023-05-01 19:00:00,43.49,1.758899,1.7535,1.777,1.764,19,0,5
2023-05-01 20:00:00,260.95,1.743456,1.745833333,1.7605,1.755833333,20,0,5
2023-05-01 21:00:00,197.25,1.722247,1.724333333,1.73,1.739,21,0,5
2023-05-02 06:00:00,11.01,1.828673,1.745666667,1.769338983,1.739,6,1,5
2023-05-02 07:00:00,5.47,1.827364,1.819,1.829,1.739,7,1,5
2023-05-02 08:00:00,70.53,1.828911,1.783666667,1.825,1.782166667,8,1,5
2023-05-02 09:00:00,8.29,1.810109,1.791166667,1.837,1.824,9,1,5
2023-05-02 10:00:00,96.92,1.808949,1.800166667,1.839,1.809166667,10,1,5
2023-05-02 11:00:00,59.54,1.789165,1.7825,1.804,1.788,11,1,5
2023-05-02 12:00:00,75.89,1.835853,1.7955,1.8425,1.845666667,12,1,5
2023-05-02 13:00:00,63.64,1.829387,1.815,1.844666667,1.8405,13,1,5
2023-05-02 14:00:00,8.98,1.799518,1.7915,1.829666667,1.810833333,14,1,5
2023-05-02 15:00:00,10.88,1.839621,1.817,1.858,1.843,15,1,5
2023-05-02 16:00:00,21.73,1.82909,1.781333333,1.829,1.7715,16,1,5
2023-05-02 17:00:00,176.77,1.765079,1.752166667,1.7865,1.774,17,1,5
2023-05-02 18:00:00,54.08,1.758939,1.748166667,1.76,1.7595,18,1,5
2023-05-02 19:00:00,98.16,1.773963,1.7635,1.787,1.774,19,1,5
2023-05-02 20:00:00,103.97,1.752354,1.755833333,1.7725,1.7625,20,1,5
2023-05-02 21:00:00,99.46,1.730311,1.724666667,1.7385,1.749,21,1,5
2023-05-03 06:00:00,34.7,1.72907,1.752333333,1.774762712,1.749,6,2,5
2023-05-03 08:00:00,97.07,1.805627,1.783666667,1.8255,1.787666667,8,2,5
2023-05-03 09:00:00,21.75,1.838788,1.808166667,1.842,1.844,9,2,5
2023-05-03 10:00:00,68.98,1.828911,1.8095,1.8345,1.811666667,10,2,5
2023-05-03 11:00:00,61.4,1.775599,1.771666667,1.788,1.777,11,2,5
2023-05-03 12:00:00,33.93,1.808919,1.783,1.835,1.825666667,12,2,5
2023-05-03 13:00:00,30.71,1.8088,1.801666667,1.8285,1.821,13,2,5
2023-05-03 14:00:00,72.69,1.78863,1.774833333,1.8015,1.799833333,14,2,5
2023-05-03 15:00:00,77.08,1.819113,1.807,1.839,1.835,15,2,5
2023-05-03 16:00:00,78.95,1.798844,1.783333333,1.819,1.776833333,16,2,5
2023-05-03 17:00:00,183.95,1.771774,1.760666667,1.7915,1.784,17,2,5
2023-05-03 18:00:00,94.25,1.746385,1.749666667,1.766,1.754333333,18,2,5
2023-05-03 19:00:00,150.64,1.771494,1.7635,1.777,1.774,19,2,5
2023-05-03 20:00:00,229.59,1.764506,1.754833333,1.7725,1.768166667,20,2,5
2023-05-03 21:00:00,164.59,1.743136,1.737833333,1.749,1.759,21,2,5
2023-05-04 07:00:00,37.39,1.818796,1.806833333,1.809,1.759,7,3,5
2023-05-04 08:00:00,112.8,1.798883,1.791333333,1.804,1.786666667,8,3,5
2023-05-04 09:00:00,10.87,1.839145,1.799666667,1.846,1.834,9,3,5
2023-05-04 10:00:00,35.38,1.803683,1.796,1.8355,1.7905,10,3,5
2023-05-04 11:00:00,109.94,1.742319,1.741333333,1.768,1.751333333,11,3,5
2023-05-04 12:00:00,85.24,1.752077,1.757,1.807,1.815666667,12,3,5
2023-05-04 13:00:00,53.87,1.79934,1.779,1.806,1.807,13,3,5
2023-05-04 14:00:00,90.43,1.788957,1.768,1.789,1.786333333,14,3,5
2023-05-04 15:00:00,17.14,1.809276,1.797,1.8275,1.823,15,3,5
2023-05-04 16:00:00,16.84,1.76364,1.772333333,1.794,1.767666667,16,3,5
2023-05-04 17:00:00,110.92,1.765405,1.752166667,1.7805,1.784,17,3,5
2023-05-04 18:00:00,183.64,1.763957,1.746166667,1.7655,1.752166667,18,3,5
2023-05-04 19:00:00,62.29,1.749122,1.7535,1.777,1.764,19,3,5
2023-05-04 20:00:00,138.92,1.755012,1.744833333,1.764,1.756,20,3,5
2023-05-04 21:00:00,177.19,1.719003,1.719166667,1.735,1.739,21,3,5
2023-05-05 06:00:00,60.03,1.718955,1.742333333,1.760186441,1.739,6,4,5
2023-05-05 07:00:00,13.82,1.809038,1.806833333,1.809,1.739,7,4,5
2023-05-05 08:00:00,19.9,1.768816,1.754833333,1.8,1.766666667,8,4,5
2023-05-05 09:00:00,6.12,1.798566,1.778166667,1.8275,1.814,9,4,5
2023-05-05 10:00:00,55.32,1.788689,1.790166667,1.817,1.801333333,10,4,5
2023-05-05 11:00:00,28.11,1.779288,1.767,1.7805,1.777,11,4,5
2023-05-05 12:00:00,43.97,1.81594,1.784,1.836,1.825666667,12,4,5
2023-05-05 13:00:00,72.52,1.808949,1.8035,1.8285,1.8225,13,4,5
2023-05-05 14:00:00,68.63,1.795432,1.777666667,1.805,1.806666667,14,4,5
2023-05-05 15:00:00,178.64,1.82903,1.799,1.829,1.841,15,4,5
2023-05-05 16:00:00,65.71,1.772307,1.774666667,1.8095,1.7615,16,4,5
2023-05-05 17:00:00,239.9,1.754893,1.725166667,1.7775,1.764,17,4,5
2023-05-05 18:00:00,150.12,1.741416,1.718333333,1.746,1.732166667,18,4,5
2023-05-05 19:00:00,65.43,1.734009,1.7335,1.757,1.744,19,4,5
